ลำดับที่,ชื่อแหล่งธรรมชาติ,ประเภทที่,ประเภทแหล่ง,ตำบล,อำเภอ,จังหวัด,ภาค,ละติจูด,ลองจิจูด,ความสำคัญ,ลักษณะของพื้นที่
205,หาดม่วงงาม,8,ชายหาด,ม่วงงาม,สิงหนคร,สงขลา,ใต้,7.353056,100.490556,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,"เป็นชายหาดที่เกิดจากโครงสร้างทางธรรมชาติที่หายากและสวยงาม เป็นหาดทรายขาวละเอียด ยาวประมาณ 3 กิโลเมตร มีต้นมะพร้าวและต้นสนขึ้นตลอดแนวชายหาด คำว่า ""ม่วงงาม"" มาจากชื่อต้นไม้ชนิดหนึ่ง มีดอกสีม่วงขึ้นอยู่มากบริเวณนี้ จึงเรียกว่า ""ม่วงงาม"""
206,แหลมสนอ่อน,8,ชายหาด,บ่อยาง,เมืองสงขลา,สงขลา,ใต้,7.226944,100.576944,ทัศนียภาพสวยงามเป็นที่ประดิษฐานอนุสาวรีย์กรมหลวงชุมพรเขตอุดมศักดิ์,"เป็นเเหลมที่งอกต่อจากแผ่นใหญ่ ขนานไปกับแม่น้ำทับถมนับร้อยปี เกิดจากโครงสร้างทางธรรมชาติที่หายากและสวยงาม อยู่บริเวณแหลมสมิหลา ร่มรื่นไปด้วยทิวสนทะเลที่ขึ้นทั่วไปของแหลมแห่งนี้ จึงได้ชื่อว่า ""แหลมสนอ่อน"""
207,น้ำตกทรายขาว,5,น้ำตก,ทรายขาว,โคกโพธิ์,ปัตตานี,ใต้,6.656769,101.096061,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,อยู่ในอุทยานแห่งชาติน้ำตกทรายขาว เป็นน้ำตกที่มีน้ำไหลผ่านซอกหินสูง มีความสวยงามและหายาก สภาพพื้นที่โดยรอบเป็นป่าดิบชื้นที่อุดมสมบูรณ์ไปด้วยพรรณไม้และสัตว์ป่านานาชนิด
208,หาดรัชดาภิเษก (หาดสายหมอ),8,ชายหาด,บางเขา,หนองจิก,ปัตตานี,ใต้,6.859617,101.137958,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหาดที่เกิดจากโครงสร้างทางธรรมชาติที่หายากและสวยงาม เป็นหาดที่มีทรายละเอียดตามแนวชายฝั่ง เป็นที่ตั้งของหมู่บ้านชาวประมง เดิมเป็นที่จอดเรือของชาวประมง จึงชื่อว่าบ้านสายหมอ และได้พัฒนาเป็นแหล่งท่องเที่ยว
209,หาดแฆแฆ,8,ชายหาด,น้ำบ่อ,ปะนาเระ,ปัตตานี,ใต้,6.845556,101.5525,เป็นชายหาดที่เกิดจากโขดหินแกรนิตที่ชายหาดทัศนียภาพสวยงาม เป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นชายหาดซึ่งมีความสวยงามและน่าเที่ยวที่สุดแห่งหนึ่งของจังหวัดปัตตานี จุดเด่นของหาดแห่งนี้ คือ เป็นชายหาดที่มีโขดหินแกรนิตขนาดใหญ่ ลักษณะแปลกตาสวยงามบนเนินเขา และมีก้อนหินกระจายอยู่บริเวณรอบชายหาด และมีทรายละเอียดสวยงาม
210,หาดชลาลัย,8,ชายหาด,ปะนาเระ,ปะนาเระ,ปัตตานี,ใต้,6.8725,101.489167,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหาดทรายที่เกิดจากโครงสร้างทางธรรมชาติที่หายากและสวยงาม โดยการกระทำของคลื่นที่พัดเอาทรายขึ้นมาทับถมทุกปี มีทรายขาวละเอียด ยาวประมาณ 2 กิโลเมตร ตรงกลางมีแอ่งน้ำธรรมชาติที่กั้นด้วยทรายที่ถูกพัดขึ้นมาเเต่ละปี จะมีคลื่นแรงในบางฤดู ตลอดเเนวชายหาดมีต้นสนร่มรื่นสวยงาม
211,หาดตะโละกาโปร์,8,ชายหาด,ตะโละกาโปร์,ยะหริ่ง,ปัตตานี,ใต้,6.898889,101.371389,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นหาดทรายขาวสะอาด ขนานกับชายฝั่งทะเล มีเรือกอและของชาวประมงจอดอยู่เป็นจำนวนมาก หาดทรายแห่งนี้ทอดยาวออกไปเรื่อย ๆ เพราะเกิดจากกระแสลมพัดเอาตะกอนทรายมาทับถมพอกพูน เหมาะแก่การไปนั่งพักผ่อนชมธรรมชาติ
212,แหลมตาชี (แหลมโพธิ์),8,ชายหาด,แหลมโพธิ์,ยะหริ่ง,ปัตตานี,ใต้,6.935833,101.240556,ทัศนียภาพสวยงามเป็นเอกลักษณ์ของท้องถิ่น,เป็นหาดทรายขาวต่อจากหาดตะโละกาโปร์ โดยลักษณะเด่นของหาดนี้ คือ เป็นหาดที่มีจะงอยของสันดอนที่งอกออกสู่ทะเล เกิดจากสันดอนทรายที่ทับถมเป็นเวลานานระหว่างปากแม่น้ำปัตตานีและทะเลฝั่งอันดามัน ส่วนที่งอกเป็นชายหาดยาวผสมกับเเนวทิวสนยาว เป็นสัญลักษณ์ของอ่าวปัตตานีมองเห็นได้จากระยะไกล
213,ถ้ำคูหาภิมุข,4,ถ้ำ,หน้าถ้ำ,เมืองยะลา,ยะลา,ใต้,6.527222,101.223611,เป็นสถานที่ศักดิ์สิทธิ์ที่มีประโยชน์ทางโบราณคดี,เป็นถ้ำที่เกิดจากโครงสร้างทางธรรมชาติที่หายาก และสวยงาม เป็นที่ตั้งของวัดคูหาภิมุข บริเวณโดยรอบถ้ำมีบรรยากาศร่มรื่น เหมาะเเก่การไปท่องเที่ยวเเละสักการะสิ่งศักดิ์สิทธิ์เพื่อความเป็นสิริมงคล
214,ถ้ำกระแซง,4,ถ้ำ,บันนังสตา,บันนังสตา,ยะลา,ใต้,6.213939,101.204051,เป็นเอกลักษณ์ของท้องถิ่น,เป็นถ้ำที่เกิดจากภูเขาสูง มีลำธารผ่านทะลุภูเขาเกิดเป็นถ้ำสูงประมาณ 50 เมตร บริเวณปากถ้ำเปิดกว้างประมาณ 25 เมตร เพดานถ้ำมีหินงอกหินย้อย มีธารน้ำและถ้ำลอดที่สวยงาม ในช่วงที่น้ำน้อยสามารถเดินเลาะเลียบตามลำธารลอดถ้ำไปทะลุอีกด้านหนึ่ง ซึ่งเป็นที่โล่ง โอบล้อมด้วยภูเขา เเละป่าที่อุดมสมบูรณ์ มีทัศนียภาพสวยงาม
215,น้ำตกสุขทาลัย (น้ำตกกือลอง),5,น้ำตก,ตลิ่งชัน,บันนังสตา,ยะลา,ใต้,6.316389,101.358333,ทัศนียภาพสวยงามเป็นเอกลักษณ์ของท้องถิ่น,เป็นน้ำตกที่เกิดจากป่าดิบชื้นและภูเขาสูง ที่หายากและสวยงาม มีทั้งหมด 5 ชั้น โดยเฉพาะชั้นที่ 3 ที่มีน้ำไหลเเละสามารถลงเล่นน้ำได้ นอกจากนี้ยังเป็นที่ตั้งของตำหนักสมเด็จพระศรีนครินทราบรมราชชนี ในโอกาสที่เสด็จมาทรงปฏิบัติภารกิจในจังหวัดยะลา
216,น้ำตกธารโต,5,น้ำตก,ถ้ำทะลุ,บันนังสตา,ยะลา,ใต้,6.221312,101.158804,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่เกิดจากภูเขาสูง มีป่าดิบชื้นสมบูรณ์ หายากและสวยงาม เป็นน้ำตกขนาดใหญ่ สูงทั้งหมด 9 ชั้น ต้นน้ำเกิดจากภูเขาชายเเดนมาเลเซีย มีน้ำตลอดทั้งปี สภาพป่าดงดิบเป็นที่อยู่อาศัยของนก อาทิ นกกาฮัง และนกเงือก เนื่องจากมีต้นไม้ใหญ่อยู่มาก
217,น้ำตกละอองรุ้ง,5,น้ำตก,แม่หวาด,ธารโต,ยะลา,ใต้,5.997393,101.186661,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,"เป็นน้ำตกที่เกิดจากภูเขาสูง เป็นธรรมชาติที่ดี หายากและสวยงาม น้ำตกมีความสูงประมาณ 20 เมตร ตกจากหน้าผา น้ำจะไหลแรงตกสู่เบื้องล่าง เกิดเป็นละอองน้ำกระจายเมื่อกระทบเเสงเเดดจะเหมือนรุ้งกินน้ำอย่างสวยงาม จึงได้ชื่อว่า ""น้ำตกละอองรุ้ง"""
218,ถ้ำโต๊ะโม๊ะ,4,ถ้ำ,ภูเขาทอง,สุคิริน,นราธิวาส,ใต้,5.801944,101.710556,เป็นถ้ำที่มีการทำเหมืองทองคำในประเทศไทยมีประโยชน์ในด้านการศึกษาค้นคว้าทางภูมิศาสตร์,เป็นถ้ำที่มีความสำคัญทางประวัติศาสตร์ที่มีการทำเหมืองทองคำในประเทศไทย เป็นถ้ำที่เป็นเหมืองอุโมงค์ มีร่องรอยการทำเหมืองทองคำสมัยก่อนสงครามโลกครั้งที่ 2 อยู่ในป่าดิบกลางหุบเขาที่อุดมสมบูรณ์
219,น้ำตกฉัตรวาริน,5,น้ำตก,โต๊ะเด็ง,สุไหงปาดี,นราธิวาส,ใต้,6.102778,101.834444,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกขนาดกลาง มีต้นกำเนิดจากยอดเขาบูเต๊ะกาว ในอุทยานแห่งชาติเทือกเขาบูโด-สุไหงปาดี มีน้ำตลอดทั้งปี น้ำตกแบ่งได้ 7 ชั้น ไหลลดหลั่นกันลงมา แวดล้อมไปด้วยพันธุ์ไม้นานาพรรณ บริเวณโดยรอบเป็นป่าดิบชื้น มีไม้หายาก อาทิ หวาย ตะค้าทอง และปาล์มบังสูรย์ ที่พบได้เฉพาะที่นี่
220,น้ำตกบาโจ (ปาโจ),5,น้ำตก,บาเจาะ,บาเจาะ,นราธิวาส,ใต้,6.497778,101.634167,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่เกิดจากโครงสร้างทางธรรมชาติที่ดี เป็นป่าสมบูรณ์และภูเขาสูงที่หายากและสวยงาม โดยน้ำตกซึ่งตกมาจากผาสูงในเทือกเขาบูโด สูง 9 ชั้น ชั้นเเรกสูงประมาณ 70 เมตร ซึ่งมีความสวยงามมาก นับว่าเป็นน้ำตกที่ใหญ่ที่สุดในจังหวัดและสวยงามแห่งหนึ่งของภาคใต้
221,น้ำตกซีโป,5,น้ำตก,เฉลิม,ระแงะ,นราธิวาส,ใต้,6.270278,101.640833,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่เกิดจากโครงสร้างทางธรรมชาติที่ดี จากป่าสมบูรณ์และภูเขาสูงที่หายากและสวยงาม เป็นน้ำตกขนาดใหญ่ ต้นน้ำเกิดจากป่าดิบชื้นธรรมชาติ มี 7 ชั้น ชั้นที่ 7 เป็นชั้นที่สวยงามที่สุด สายน้ำแผ่กว้างสวยงาม อาบเต็มหน้าผาสูงประมาณ 30 เมตร ตกลงสู่แอ่งน้ำเบื้องล่างอย่างสวยงาม
222,หาดนราทัศน์,8,ชายหาด,บางนาค,เมืองนราธิวาส,นราธิวาส,ใต้,6.446111,101.828056,เป็นหาดทรายสีขาวสะอาดทัศนียภาพสวยงาม,เป็นหาดทรายสีขาวละเอียด มีต้นสนขึ้นหนาแน่นตลอดแนวชายหาด พบชุมชนประมงบริเวณชายหาด และชายหาดช่วงที่อยู่ด้านหน้าหมู่บ้านจะมีเรือกอและจอดเรียงรายอย่างสวยงาม โดยเฉพาะลักษณะของเรือกอและที่มีการวาดลวยลายอันวิจิตร ซึ่งเป็นวัฒนธรรมของชาวใต้
223,ถ้ำพระขยางค์,4,ถ้ำ,ลำเลียง,กระบุรี,ระนอง,ใต้,10.326111,98.765278,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นถ้ำที่มีโครงสร้างทางธรรมชาติที่หายากและสวยงาม เกิดจากภูเขาหินปูน ภายในเเบ่งเป็น 3 ชั้น ปากถ้ำมีพระพุทธรูปอันเป็นที่เคารพสักการะของชาวบ้าน ชั้นบนสุดเป็นที่โล่ง สามารถทะลุออกภายนอกซึ่งเป็นบริเวณที่เชื่อกันว่า มีการนำเอาสมุนไพรที่หายากมาปลูกไว้ ลมพัดเข้าทางช่องอุโมงค์ด้านบนได้
224,น้ำตกหงาว,5,น้ำตก,หงาว,เมืองระนอง,ระนอง,ใต้,9.856111,98.6275,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกที่มีโครงสร้างทางธรรมชาติที่ดี มีความสูงประมาณ 200 เมตร ไหลลงมาจากยอดเขาเป็นสายยาว สามารถมองเห็นได้ตั้งแต่ระยะไกล มีสัตว์ที่เป็นจุดเด่น คือ “ปูเจ้าฟ้า” ปูน้ำตกพันธุ์ใหม่ พบครั้งแรกในโลกที่บริเวณน้ำตกหงาว
225,น้ำตกปุญญบาล,5,น้ำตก,ทรายแดง,เมืองระนอง,ระนอง,ใต้,10.064804,98.670067,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,"เป็นน้ำตกที่มีทิวทัศน์ที่สวยงาม มีทั้งหมด 3 ชั้น ชั้นที่ 1 เรียกว่า ""ปุญญบาล"" เป็นชั้นที่สวยที่สุด บริเวณรอบน้ำตกร่มรื่นด้วยต้นไม้ใหญ่ และมีเส้นทางจากน้ำตกชั้นที่ 1 ถึงชั้นที่ 3 มีระยะทางประมาณ 300 เมตร นักท่องเที่ยวสามารถเดินศึกษาแหล่งต้นน้ำ และระบบนิเวศน์ป่าดิบชื้นได้"
226,หาดแหลมสน,8,ชายหาด,ม่วงกลาง,กะเปอร์,ระนอง,ใต้,9.603056,98.464722,เป็นหาดทรายขาวสะอาดทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นชายหาดที่เกิดจากโครงสร้างทางธรรมชาติที่ขาวสะอาด ชายหาดเป็นทรายละเอียด ลักษณะสวยงาม และมีทิวสนธรรมชาติเรียงขนานกับชายหาดดูร่มรื่น
227,หาดประพาส,8,ชายหาด,กำพวน,สุขสำราญ,ระนอง,ใต้,9.367778,98.395556,เป็นหาดทรายขาวสะอาดทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นชายหาดที่เกิดจากโครงสร้างทางธรรมชาติที่ขาวสะอาด หายาก และสวยงาม มีหาดทรายที่ขาวละเอียด มีทิวสนขึ้นตามธรรมชาติริมชายหาด ดูร่มรื่น สวยงาม
228,บ่อน้ำร้อนแร่ธรรมชาติ (รักษะวาริน),6,โป่งน้ำพุร้อน,บางริ้น,เมืองระนอง,ระนอง,ใต้,9.958611,98.649444,เป็นบ่อน้ำพุร้อนที่สวยงามเป็นแหล่งท่องเที่ยวที่สำคัญและเป็นเอกลักษณ์ของท้องถิ่น,เป็นบ่อน้ำร้อนที่เกิดจากโครงสร้างทางธรรมชาติ ที่หายากและสวยงาม ไหลจากชั้นหินใต้พื้นดิน มีการพิสูจน์แล้วว่าไม่มีสารเคมีเจือปนที่จะเป็นอันตรายแก่ร่างกาย สามารถใช้ดื่มเเละอาบได้ ติดกับภูเขาที่ปกคลุมไปด้วยป่าดงดิบ ทำให้บรรยากาศร่มรื่น ถือเป็นแหล่งท่องเที่ยวที่ขึ้นชื่อและเป็นเอกลักษณ์ของจังหวัดระนอง
229,เขาพิงกัน-เขาตะปู,10,ธรณีสัณฐานและภูมิลักษณวรรณา,กระโสม,ตะกั่วทุ่ง,พังงา,ใต้,8.274274,98.501184,เป็นเกาะที่เกิดจากภูเขาหินปูนอยู่กลางทะเล เป็นแหล่งท่องเที่ยวที่สำคัญและเป็นเอกลักษณ์ของท้องถิ่น,เขาตะปูเป็นยอดเขาขนาดเล็ก ตั้งอยู่กลางทะเล ส่วนล่างถูกน้ำกัดเซาะจนคอดกิ่วเหมือนตะปู ส่วนเขาพิงกันประกอบด้วยภูเขาสองลูกด้านทิศตะวันตก และทิศตะวันออก โดยมีสันดอนเชื่อมเกาะทั้งสองให้เป็นเกาะเดียวกัน ที่ฐานภูเขาด้านทิศตะวันตกมีมวลหินก้อนใหญ่ตั้งพิงอยู่ เกิดจากแผ่นหินปูนเรียบ สูงประมาณ 30 เมตร ลักษณะเหมือนกับเอนมาพิงกัน
230,ถ้ำสุวรรณคูหา (พังงา),4,ถ้ำ,กระโสม,ตะกั่วทุ่ง,พังงา,ใต้,8.428546,98.471706,เป็นถ้ำที่สวยงามและมีความสำคัญทางประวัติศาสตร์และศาสนา,เป็นถ้ำที่เกิดจากโครงสร้างทางธรรมชาติที่หายาก และสวยงามมีความสำคัญทั้งทางประวัติศาสตร์เเละทางศาสนาของจังหวัดพังงา เป็นภูเขาหินปูนลูกโดดขนาดเล็กตั้งอยู่ในเขตพื้นที่ ภายในถ้ำจะโล่งมีลมพัดผ่านทำให้รู้สึกเย็นสบายเมื่อเข้ามา
231,ถ้ำพุงช้าง,4,ถ้ำ,ท้ายช้าง,เมืองพังงา,พังงา,ใต้,8.4425,98.515556,เป็นถ้ำที่สวยงาม,เป็นถ้ำที่เกิดจากโครงสร้างทางธรรมชาติที่ดี หายากและสวยงาม ภายในถ้ำมีหินงอกหินย้อยรูปร่างแปลก ๆ มีสายน้ำไหลผ่านถ้ำตลอดปี เมื่อปี พ.ศ. 2458 รัชกาลที่ 6 เคยเสด็จประพาส และรัชกาลที่ 7 ได้ทรงลงพระปรมาภิไธยจารึกไว้ที่หน้าผาด้านหน้าเพื่อเป็นอนุสรณ์
232,ถ้ำลอด,4,ถ้ำ,เกาะปันหยี,เมืองพังงา,พังงา,ใต้,8.300278,98.496944,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นถ้ำที่เกิดจากโครงสร้างทางธรรมชาติที่หายากและสวยงาม เกิดจากภูเขาหินปูนในทะเลอ่าวพังงา มีลักษณะเป็นถ้ำขนาดใหญ่ที่มีช่องทะลุให้น้ำทะเลไหลผ่านไปอีกด้าน ช่วงน้ำลดเรือสามารถเเล่นผ่านได้ บนเพดานถ้ำลอดจะมีหินงอกหินย้อยสวยงาม
233,น้ำตกลำปี,5,น้ำตก,ท้ายเหมือง,ท้ายเหมือง,พังงา,ใต้,8.463056,98.280833,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นน้ำตกขนาดกลาง มี 3 ชั้น แต่ละชั้นสูงประมาณ 100 เมตร น้ำตกชั้นล่างสุดมีแอ่งน้ำใสสะอาด และบริเวณน้ำตกปกคลุมไปด้วยต้นไม้ให้ความร่มรื่นสวยงาม
234,อ่าวไม้งาม,8,ชายหาด,เกาะพระทอง,คุระบุรี,พังงา,ใต้,9.435278,97.860556,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นอ่าวขนาดใหญ่ โค้งอ่าวเว้าลึกเป็นรูปตัวยู (U) ขนาบด้วยแหลมหินทั้งสองด้าน ด้านในสุดของอ่าวเป็นแนวหาดทรายขาวสะอาดสะดุดตา ถัดจากหาดทรายไปเป็นที่ราบ ร่มรื่นเต็มไปด้วยป่าชายหาด ป่าชายเลน ซึ่งเป็นธรรมชาติที่งดงามมาก
235,อ่าวเเม่ยาย,8,ชายหาด,เกาะพระทอง,คุระบุรี,พังงา,ใต้,9.438611,97.881111,เป็นอ่าวที่แวดล้อมด้วยหมู่เกาะมีความสวยงาม,เป็นอ่าวที่แวดล้อมไปด้วยหมู่เกาะ เป็นอ่าวรูปโค้งเหมือพระจันทร์เสี้ยว เป็นอ่าวที่มีขนาดใหญ่ที่สุด คลื่นลมสงบ บริเวณชายหาดมีทรายสีขาวละเอียด และเป็นแหล่งที่มีปะการังน้ำตื้นที่สวยงาม
236,หาดท้ายเหมือง,8,ชายหาด,ท้ายเหมือง,ท้ายเหมือง,พังงา,ใต้,8.404444,98.245278,เป็นหาดทรายขาวสะอาดทัศนียภาพสวยงาม เป็นแหล่งท่องเที่ยวที่สำคัญ,หาดทรายที่ทอดยาวเลียบไปตามทะเลอันดามันนับสิบกิโลเมตร นับเป็นหาดทรายที่มีความยาวมากที่สุดในจังหวัดพังงา ทรายมีสีขาวละเอียด แทบจะไม่มีเปลือกหอยให้เห็น ตลอดแนวชายหาดเรียงรายด้วยต้นสนสูงใหญ่ และพื้นทรายคลุมด้วยต้นผักบุ้งทะเลสวยงาม ชายหาดค่อนข้างชัน เคยเป็นที่วางไข่ของเต่ากระ เต่าตนุ และมีการรณรงค์ปล่อยเต่าลงทะเลทุกปี
237,น้ำตกโตนไทร,5,น้ำตก,เทพกระษัตรี,ถลาง,ภูเก็ต,ใต้,8.027848,98.363619,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นแหล่งกักเก็บน้ำธรรมชาติที่ใหญ่ที่สุดบนเกาะภูเก็ต ตัวน้ำตกเกิดจากสายน้ำสองสายจากป่าดงดิบธรรมชาติในเทือกเขาพระเเทวไหลมารวมกันเป็นสายน้ำตก รอบพื้นที่น้ำตกมีเส้นทางเดินศึกษาธรรมชาติ มีพืชพรรณหลากหลายชนิด และพืชพิเศษ คือ ปาล์มหลังขาว ซึ่งมีแห่งเดียวในโลก
238,หาดในยาง,8,ชายหาด,สาคู,ถลาง,ภูเก็ต,ใต้,8.089444,98.297222,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นชายหาดที่อยู่ในอุทยานแห่งชาติสิรินาถ เกิดจากโครงสร้างทางธรรมชาติที่หายาก สวยงาม หาดทรายขาวสะอาด ทอดยาวตามแนวสนธรรมชาติ น้ำทะเลใส เหมาะที่จะเล่นน้ำ ดำน้ำและพักผ่อน เมื่อมองไปด้านทิศใต้ จะมีแหลมที่เห็นได้ว่าเป็นสัญลักษณ์ของหาดในยาง เป็นที่พักผ่อนของนักท่องเที่ยว
239,หาดป่าตอง,8,ชายหาด,ป่าตอง,กะทู้,ภูเก็ต,ใต้,7.896111,98.295278,ทัศนียภาพสวยงามเป็นแหล่งท่องเที่ยวที่สำคัญ,เป็นชายหาดรูปตัว U ยาวประมาณ 3 กิโลเมตร เกิดจากโครงสร้างทางธรรมชาติที่หายากและสวยงาม มีแนวภูเขาคั่นหัวและท้าย ช่วยบังคลื่นลมได้อย่างดี น้ำทะเลใสสีเขียวมรกต บริเวณชายหาดมีทรายขาวละเอียด นักท่องเที่ยวนิยมมาเล่นน้ำ นอนอาบแดด และทำกิจกรรมต่าง ๆ เช่น ขี่เจ็ทสกี โดดร่มพาราเซล เรือใบ หาดแห่งนี้นับว่าเป็นชายหาดที่ขึ้นชื่อของจังหวัดภูเก็ต
240,หาดสุรินทร์,8,ชายหาด,เชิงทะเล,ถลาง,ภูเก็ต,ใต้,7.975278,98.278333,ทัศนียภาพสวยงามมีโขดหินแกรนิตทางด้านเหนือ-ใต้ของชายหาด,เป็นหนึ่งในชายหาดที่สวยของเกาะภูเก็ต ตั้งอยู่ทางทิศตะวันตกของเกาะ หันหน้าไปทางทะเลอันดามัน ชายหาดยาวประมาณ 1 กิโลเมตร มีโขดหินแกรนิตทางด้านเหนือ-ใต้ ของชายหาด มีทรายสีขาวละเอียด น้ำทะเลใส บรรยากาศร่มรื่น
241,หาดในหาน,8,ชายหาด,ราไวย์,เมืองภูเก็ต,ภูเก็ต,ใต้,7.775833,98.305833,ทัศนียภาพสวยงามเป็นจุดที่มองเห็นพระอาทิตย์ตกดิน,เป็นหาดทรายสีขาวละเอียด ยาวประมาณ 1 กิโลเมตร เป็นจุดชมวิวที่สวยงามมองเห็นพระอาทิตย์ตกดิน ทางด้านใต้มองเห็นกังหันลมของกองทัพเรือที่แหลมพรมเทพ หาดนี้นี้ยังเป็นที่ดำน้ำดูปะการังของนักท่องเที่ยว นอกจากนี้หาดในหานยังเป็นหาดที่จอดเรือของทั่วโลก
242,เขารัง,3,ภูเขา,รัษฎา,เมืองภูเก็ต,ภูเก็ต,ใต้,7.892025,98.380042,เป็นภูเขาโดดล้อมรอบด้วยบ้านเรือน,เป็นภูเขาโดดตั้งอยู่ในเขตเทศบาลเมืองภูเก็ต เกิดจากโครงสร้างทางธรรมชาติ หายากและสวยงาม ล้อมรอบด้วยอาคารบ้านเรือน บนเขารังเป็นที่ตั้งอนุสาวรีย์ของพระยารัษฎานุประดิษฐ์มหิศรภักดี หรือ คอซิมบี๊ ณ ระนอง เจ้าเมืองภูเก็ตในอดีต เป็นสวนสาธารณะเขารัง และยังเป็นจุดชมวิวเมืองภูเก็ตได้ทุกทิศทาง
243,แหลมพรหมเทพ,3,ภูเขา,ราไวย์,เมืองภูเก็ต,ภูเก็ต,ใต้,7.759076,98.303591,ทัศนียภาพสวยงามเป็นเอกลักษณ์ของท้องถิ่น,เป็นหนึ่งในจุดชมพระอาทิตย์ตกที่สวยที่สุดในเมืองไทย เป็นแหลมที่อยู่ใต้สุดของเกาะภูเก็ต มีลักษณะเป็นแหลมโขดหินลาดลงสู่ทะเล และยังเป็นที่ตั้งของอนุสาวรีย์กรมหลวงชุมพรเขตอุดมศักดิ์ ซึ่งประดิษฐานที่บริเวณประภาคารกาญจนาภิเษก แหลมพรหมเทพ และประภาคารแห่งนี้ยังใช้เป็นเครื่องหมายในการเดินเรือ เนื่องจากจังหวัดภูเก็ตถือเป็นหนึ่งในศูนย์กลางของเส้นทางคมนาคมทางทะเลที่สำคัญแห่งท้องทะเลอันดามัน
244,เกาะพีพีเล-เกาะพีพีดอน,1,เกาะ,อ่าวนาง,เมืองกระบี่,กระบี่,ใต้,7.745556,98.777778,ทัศนียภาพสวยงามเป็นเอกลักษณ์ของท้องถิ่น,เป็นเกาะที่มีโครงสร้างทางธรรมชาติที่ดี หายากและสวยงาม เป็นเกาะในทะเลอันดามัน ประกอบด้วย 2 เกาะ เกาะเล็กที่อยู่ล่าง คือเกาพีพีเล มีชายหาดที่สวยงาม คือ อ่าวมาหยา และถ้ำไวกิ้ง ที่มีภาพเขียนบนฝาผนัง ส่วนเกาะพีพีดอน เป็นชายหาดสองหาดเป็นรูปเว้าเข้าหากัน เห็นได้ชัดจากจุดชมวิว ซึ่งทั้งสองเกาะนี้เป็นเเหล่งท่องเที่ยวที่สำคัญและมีชื่อเสียงของจังหวัดกระบี่
245,เขาขนาบน้ำ,3,ภูเขา,ปากน้ำ,เมืองกระบี่,กระบี่,ใต้,8.078056,98.920833,ทัศนียภาพสวยงามเป็นเอกลักษณ์ของท้องถิ่น,เป็นเขาหินปูนสองลูกสูงประมาณ 100 เมตร ขนาบแม่น้ำกระบี่ด้านหน้าตัวเมืองกระบี่ สองฝั่งเป็นป่าชายเลนที่มีความสมบูรณ์ และมีน้ำทะเลล้อมรอบ ก่อให้ภูมิทัศน์ที่สวยงาม ถือเป็นสัญลักษณ์ของเมืองกระบี่ ยังมีเพิงผา โพรงถ้ำ สามารถขึ้นไปเที่ยวถ้ำบนเขาได้ ภายในมีหินงอกหินย้อยและเป็นสถานที่ที่เคยพบโครงกระดูกมนุษย์จำนวนมาก
246,ถ้ำพระนางใน,4,ถ้ำ,อ่าวนาง,เมืองกระบี่,กระบี่,ใต้,8.013541,98.842013,ทัศนียภาพสวยงามเป็นสถานที่ศักดิ์สิทธิ์,เป็นถ้ำที่เกิดจากภูเขาหินปูน บริเวณหน้าถ้ำจะเป็นชายหาดสีขาวละเอียด เป็นสถานที่ที่นักท่องเที่ยวไทยและต่างชาตินิยมมาท่องเที่ยว ส่วนทางขึ้นถ้ำจะมีรูปปั้น และมีทางขึ้นเพื่อที่จะปีนขึ้นสู่บนถ้ำ ภายในถ้ำมีหินงอกหินย้อยสวยงาม เป็นสถานที่เคารพบูชาของชาวบ้าน
